,taxonID,acceptedNameUsageID,parentNameUsageID,scientificName,scientificNameAuthorship,kingdom,phylum,class,order,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,modified,namePublishedIn,scientificNameID,verbatimTaxonRank,taxonRemarks,higherClassification
2198,572887,,572797.0,"Arctocebus aureus de Winton, 1902","de Winton, 1902",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Arctocebus,,aureus,,species,valid,2021-03-29,,572887,,"Wilson & Reeder, eds. (2005): Comments:  Formerly classified as a subspecies of Arctocebus calabarensis, but considered a full species by Maier (1980:567) and Groves (1989:100-101; 2001c).Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Perodicticinae|Arctocebus
2199,572888,,572797.0,"Arctocebus calabarensis (J. A. Smith, 1860)","(J. A. Smith, 1860)",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Arctocebus,,calabarensis,,species,valid,2021-03-29,,572888,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Perodicticinae|Arctocebus
2200,572889,,572798.0,"Loris tardigradus (Linnaeus, 1758)","(Linnaeus, 1758)",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Loris,,tardigradus,,species,valid,2021-03-29,,572889,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Endangered as L. t. tardigradus",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Lorisinae|Loris
2201,572890,,572799.0,"Nycticebus coucang (Boddaert, 1785)","(Boddaert, 1785)",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Nycticebus,,coucang,,species,valid,2021-03-29,,572890,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Data Deficient as N. c. menagensis and N. javanicus, Lower Risk (lc) as N. c. coucang.Mittermeier, Russell A., Anthony B. Rylands, and Don E. Wilson, eds. (2013): Status:  CITES - Appendix I; IUCN - Vunerable",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Lorisinae|Nycticebus
2202,572891,,572799.0,"Nycticebus pygmaeus Bonhote, 1907","Bonhote, 1907",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Nycticebus,,pygmaeus,,species,valid,2021-03-29,,572891,,"Wilson & Reeder, eds. (2005): Comments:  Includes intermedius; see Groves (1971c) and Lekagul and McNeely (1977:270).Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; U.S. ESA - Threatened; IUCN - Vulnerable.Mittermeier, Russell A., Anthony B. Rylands, and Don E. Wilson, eds. (2013): Status:  CITES - Appendix I; IUCN - Vulnerable",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Lorisinae|Nycticebus
2203,572892,,572800.0,"Perodicticus potto (Müller, 1766)","(Müller, 1766)",Animalia,Chordata,Mammalia,Primates,,Lorisidae,Perodicticus,,potto,,species,valid,2021-03-29,,572892,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (lc)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Perodicticinae|Perodicticus
2204,572893,,572801.0,"Euoticus elegantulus (LeConte, 1857)","(LeConte, 1857)",Animalia,Chordata,Mammalia,Primates,,Galagidae,Euoticus,,elegantulus,,species,valid,2021-03-29,,572893,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Euoticus
2205,572894,,572801.0,"Euoticus pallidus (Gray, 1863)","(Gray, 1863)",Animalia,Chordata,Mammalia,Primates,,Galagidae,Euoticus,,pallidus,,species,valid,2021-03-29,,572894,,"Wilson & Reeder, eds. (2005): Comments:  Accepted as a species by Groves (1989:104; 2001c).Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Endangered as E. p. pallidus, otherwise Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Euoticus
2206,572896,,572802.0,"Galago gallarum Thomas, 1901","Thomas, 1901",Animalia,Chordata,Mammalia,Primates,,Galagidae,Galago,,gallarum,,species,valid,2021-03-29,,572896,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (nt).Wilson & Reeder, eds. (2005): Comments:  G. senegalensis species group. Recognized as a species by Nash et al. (1989) and by Groves (1989, 2001c)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago
2207,572897,,572802.0,"Galago matschiei Lorenz, 1917","Lorenz, 1917",Animalia,Chordata,Mammalia,Primates,,Galagidae,Galago,,matschiei,,species,valid,2021-03-29,,572897,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (nt).Wilson & Reeder, eds. (2005): Comments:  G. matschiei species group. Placed in Euoticus by Petter and Petter-Rousseaux (1979). This name predates the more commonly used inustus (Groves, 1989:102; Nash et al., 1989:69-70)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago
2208,572898,,572802.0,"Galago moholi A. Smith, 1836","A. Smith, 1836",Animalia,Chordata,Mammalia,Primates,,Galagidae,Galago,,moholi,,species,valid,2021-03-29,,572898,,"Wilson & Reeder, eds. (2005): Comments:  G. senegalensis species group. Separated from senegalensis by Jenkins (1987), Nash et al. (1989), and Groves (1989).Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (lc)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago
2209,572899,,572802.0,"Galago senegalensis É. Geoffroy Saint-Hilaire, 1796","É. Geoffroy Saint-Hilaire, 1796",Animalia,Chordata,Mammalia,Primates,,Galagidae,Galago,,senegalensis,,species,valid,2021-03-29,,572899,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix II; IUCN - Lower Risk (lc).Wilson & Reeder, eds. (2005): Comments:  G. senegalensis species group. Hill and Meester (1977:2) included granti in this species; but see Smithers and Wilson (1979)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago
2210,572900,,572803.0,"Galagoides demidoff (G. Fischer, 1806)","(G. Fischer, 1806)",Animalia,Chordata,Mammalia,Primates,,Galagidae,Galagoides,,demidoff,,species,valid,2021-03-29,,572900,,"David Nicolson - ITIS Data Development Coordinator: The specific epithet has caused considerable confusion. The name as it originally appeared [demidoff] is accompanied by a description and thus fulfills the criteria of availability. Subsequent workers cast doubt on the validity of the name, preferring to accept G. demidovii Fischer, 1808, or emending the spelling of the 1806 name. Schwartz (1931b) maintained that the name was not latinized, however, according to Article 31 of the ICZN, it must be treated as a noun in apposition to the generic name, and is therefore acceptable (Jenkins, 1987:98). Rylands (pers. comm. 26 June 2014) considered the matter and agreed to follow Jenkins (1987) and Groves (2001) in using the epithet as originally published, and treating the emendation as unjustified",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galagoides
